OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape
1,1,FS-1418826,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,511,Plumas National Forest,1,PNF-47,BJ8K,FOUNTAIN,,,,,,2005,2453403.5,33,1300,9,Miscellaneous,2453403.5,33,1730,0.1,A,40.03694444,-121.0058333,5,USFS,CA,63,63,Plumas,
2,2,FS-1418827,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,13,13,AAC0,PIGEON,,,,,,2004,2453137.5,133,845,1,Lightning,2453137.5,133,1530,0.25,A,38.93305556,-120.4044444,5,USFS,CA,61,61,Placer,
3,3,FS-1418835,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,27,21,A32W,SLACK,,,,,,2004,2453156.5,152,1921,5,Debris Burning,2453156.5,152,2024,0.1,A,38.98416667,-120.7355556,13,STATE OR PRIVATE,CA,17,17,El Dorado,
4,4,FS-1418845,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,43,6,,DEER,,,,,,2004,2453184.5,180,1600,1,Lightning,2453189.5,185,1400,0.1,A,38.55916667,-119.9133333,5,USFS,CA,3,3,Alpine,
5,5,FS-1418847,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,44,7,,STEVENOT,,,,,,2004,2453184.5,180,1600,1,Lightning,2453189.5,185,1200,0.1,A,38.55916667,-119.9330556,5,USFS,CA,3,3,Alpine,
6,6,FS-1418849,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,54,8,,HIDDEN,,,,,,2004,2453186.5,182,1800,1,Lightning,2453187.5,183,1600,0.1,A,38.63527778,-120.1036111,5,USFS,CA,5,5,Amador,
7,7,FS-1418851,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,58,9,,FORK,,,,,,2004,2453187.5,183,1800,1,Lightning,2453188.5,184,1400,0.1,A,38.68833333,-120.1533333,5,USFS,CA,17,17,El Dorado,
8,8,FS-1418854,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,3,2,BK5X,SLATE,,,,,,2005,2453437.5,67,1300,5,Debris Burning,2453437.5,67,1600,0.8,B,40.96805556,-122.4338889,13,STATE OR PRIVATE,CA,,,,
9,9,FS-1418856,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,5,3,BLPQ,SHASTA,,,,,,2005,2453444.5,74,1200,5,Debris Burning,2453444.5,74,1700,1,B,41.23361111,-122.2833333,13,STATE OR PRIVATE,CA,,,,
10,10,FS-1418859,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,61,10,,TANGLEFOOT,,,,,,2004,2453187.5,183,1800,1,Lightning,2453188.5,184,1800,0.1,A,38.54833333,-120.1491667,5,USFS,CA,5,5,Amador,
11,11,FS-1418861,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,64,11,,FORK #2,,,,,,2004,2453188.5,184,1830,1,Lightning,2453189.5,185,1900,0.1,A,38.69166667,-120.1597222,5,USFS,CA,17,17,El Dorado,
12,12,FS-1418863,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,71,14,,MOKE #2,,,,,,2004,2453188.5,184,1730,1,Lightning,2453189.5,185,2000,0.1,A,38.5275,-120.1061111,5,USFS,CA,5,5,Amador,
13,13,FS-1418865,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,91,26,,WRIGHTS,,,,,,2004,2453251.5,247,1600,9,Miscellaneous,2453251.5,247,1630,0.1,A,38.78666667,-120.1933333,5,USFS,CA,17,17,El Dorado,
