NWCG_REPORTING_UNIT_NAME,FIRE_NAME,FIRE_YEAR,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE
Green Mountain National Forest,A-HOUSE,1998,Miscellaneous,B,42.58833333,-76.82166667,NY
Green Mountain National Forest,TOWNSENDVILLE ROAD,1998,Lightning,B,42.56111111,-76.7825,NY
Appalachian National Scenic Trail Historic Site,CATROCK,1993,Campfire,B,41.60302,-73.61256999999999,NY
Appalachian National Scenic Trail Historic Site,DEPOT HILL,1999,Campfire,B,41.574040000000004,-73.67433,NY
Appalachian National Scenic Trail Historic Site,HOSNER 1,1999,Arson,B,41.573479999999996,-73.67379,NY
Appalachian National Scenic Trail Historic Site,HOSNER 2,1999,Arson,B,41.573479999999996,-73.67374000000001,NY
Appalachian National Scenic Trail Historic Site,HOSNER 3,1999,Arson,B,41.57343,-73.67373,NY
Home of Franklin D. Roosevelt National Historic Site,VALKILL,1992,Powerline,B,41.763490000000004,-73.89488,NY
Fire Island National Seashore,VIVIAN,1993,Arson,B,40.69,-72.99,NY
Fire Island National Seashore,RASPUTIN,1994,Children,A,40.69,-72.99,NY
Fire Island National Seashore,SOMMER,1995,Miscellaneous,B,40.69,-72.99,NY
Gateway National Recreation Area,DUMP,1992,Miscellaneous,A,40.603727,-74.058908,NY
Gateway National Recreation Area,OILTANK,1992,Smoking,B,40.603718,-74.058914,NY
Gateway National Recreation Area,WILNER,1992,Miscellaneous,C,40.584653,-73.88499,NY
Gateway National Recreation Area,BEACH,1992,Miscellaneous,A,40.6037,-74.058934,NY
Gateway National Recreation Area,SCAN,1992,Miscellaneous,A,40.6037,-74.058934,NY
Gateway National Recreation Area,UNO,1992,Miscellaneous,A,40.584643,-73.88498100000001,NY
Gateway National Recreation Area,SOMMA,1992,Miscellaneous,B,40.584651,-73.884987,NY
Gateway National Recreation Area,LOIS,1992,Miscellaneous,A,40.603727,-74.058908,NY
Gateway National Recreation Area,EILEEN,1992,Miscellaneous,A,40.6037,-74.058934,NY
Gateway National Recreation Area,SPOT,1992,Miscellaneous,B,40.603727,-74.058908,NY
Gateway National Recreation Area,RACOON,1992,Miscellaneous,B,40.603727,-74.058908,NY
Gateway National Recreation Area,POWERS,1992,Miscellaneous,A,40.584643,-73.88498100000001,NY
Gateway National Recreation Area,PARK,1992,Miscellaneous,B,40.603727,-74.058908,NY
Gateway National Recreation Area,MATCH,1992,Arson,A,40.603727,-74.058908,NY
Gateway National Recreation Area,COAT,1992,Debris Burning,A,40.603727,-74.058908,NY
Gateway National Recreation Area,STEVE,1992,Miscellaneous,A,40.603727,-74.058908,NY
Gateway National Recreation Area,KING,1992,Miscellaneous,A,40.603727,-74.058908,NY
Gateway National Recreation Area,BIG ONE,1992,Miscellaneous,D,40.603727,-74.058908,NY
Gateway National Recreation Area,KAPLAN,1992,Miscellaneous,B,40.584651,-73.884987,NY
Gateway National Recreation Area,JODY,1992,Miscellaneous,B,40.584654,-73.884973,NY
Gateway National Recreation Area,R.VARNAS,1992,Miscellaneous,A,40.6,-73.9,NY
Gateway National Recreation Area,D.SOMMA,1992,Miscellaneous,A,40.584651,-73.884987,NY
Gateway National Recreation Area,FLICK,1992,Miscellaneous,B,40.584643,-73.88498100000001,NY
Gateway National Recreation Area,BURLAP,1992,Miscellaneous,A,40.603729,-74.058927,NY
Gateway National Recreation Area,PIER,1992,Miscellaneous,A,40.584651,-73.884987,NY
Gateway National Recreation Area,BUNKER,1992,Miscellaneous,A,40.584655,-73.884977,NY
